class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,1.6194618078221668,x,g,o,f,e,c,w,3.076704675133397,0.49229300236275164,w,t,g,d,w
p,1.8739823083886251,x,g,o,f,e,c,w,3.3853109990391683,0.6018998112405046,w,t,g,d,u
p,1.393432408065387,x,g,o,f,e,c,w,3.328930997556384,0.5570606621541508,w,t,g,d,w
p,1.412426475271839,f,h,e,f,e,c,w,2.7265551922403106,0.3816897679497466,w,t,p,d,w
p,1.5016985911421639,x,h,o,f,e,c,w,2.9520751981714515,0.5032536832505269,w,t,p,d,w
p,1.6346570615873284,x,g,o,f,e,c,w,3.3408004715527593,0.6616853433556423,w,t,p,d,u
p,1.5415861322757132,f,h,o,f,e,c,w,3.3022246810645384,0.4723644916577057,w,t,g,d,w
p,1.5434855389963584,x,h,e,f,e,c,w,3.100443623126149,0.5271678960965822,w,t,p,d,u
p,1.1617047881466713,f,g,o,f,e,c,w,3.1716604671044037,0.6517210880031196,w,t,p,d,a
p,1.2946632585918363,f,g,e,f,e,c,w,2.806674141715847,0.4713680661224533,w,t,p,d,w
p,1.412426475271839,f,h,e,f,e,c,w,3.346735208550947,0.5849605771412154,w,t,p,d,a
p,1.266172157782158,x,h,o,f,e,c,w,3.3734415250427925,0.4972751300390132,w,t,p,d,u
p,2.020236625878306,x,h,o,f,e,c,w,3.4179520525292024,0.6098712155225229,w,t,g,d,u
p,1.8663846815060436,x,h,o,f,e,c,w,3.652374163957625,0.593928406958486,w,t,p,d,u
p,1.640355281749264,x,h,e,f,e,c,w,3.444658369021048,0.620831896410298,w,t,g,d,a
p,1.6726451960002324,f,h,e,f,e,c,w,3.4654299485147058,0.570014194112431,w,t,p,d,a
p,1.6061659607776502,x,g,e,f,e,c,w,3.2161709945908137,0.5500856834073852,w,t,p,d,a
p,2.0259348460402413,x,h,o,f,e,c,w,3.5307120554947726,0.6367747049743349,w,t,p,d,a
